ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12067120,JD251743,06/02/2020 10:30:00 PM,042XX N KIMBALL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,false,1723,017,35,16,14,1152956,1928159,2020,06/09/2020 03:49:44 PM,41.958722736,-87.7130654,"(41.958722736, -87.7130654)"
12066460,JD250890,06/02/2020 10:03:00 AM,075XX S EGGLESTON AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0621,006,6,69,08A,1174597,1855033,2020,06/09/2020 03:49:44 PM,41.757602323,-87.635689456,"(41.757602323, -87.635689456)"
12069866,JD254685,06/02/2020 10:24:00 AM,061XX N MASON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,1611,016,39,11,26,,,2020,06/09/2020 03:49:44 PM,,,
12066400,JD250841,06/02/2020 03:44:00 AM,064XX N CENTRAL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1621,016,41,12,14,1139166,1942522,2020,06/09/2020 03:49:44 PM,41.998398704,-87.76341214,"(41.998398704, -87.76341214)"
12067809,JD252366,06/02/2020 06:45:00 PM,021XX N HARLEM AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2512,025,29,25,06,1127742,1913510,2020,06/09/2020 03:49:44 PM,41.918987498,-87.806094814,"(41.918987498, -87.806094814)"
12067176,JD251440,06/02/2020 03:00:00 PM,011XX S CALIFORNIA AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1135,011,28,29,26,1157861,1895042,2020,06/09/2020 03:49:44 PM,41.867748212,-87.695937451,"(41.867748212, -87.695937451)"
12066687,JD251251,06/02/2020 01:30:00 PM,003XX S KEDZIE AVE,0560,ASSAULT,SIMPLE,CTA PARKING LOT / GARAGE / OTHER PROPERTY,false,true,1134,011,28,27,08A,1155108,1897941,2020,06/09/2020 03:49:44 PM,41.87575902,-87.705966447,"(41.87575902, -87.705966447)"
12069185,JD253941,06/02/2020 09:35:00 PM,029XX E 130TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0433,004,10,55,26,1197643,1819364,2020,06/09/2020 03:49:44 PM,41.659179396,-87.552415821,"(41.659179396, -87.552415821)"
12066078,JD250578,06/02/2020 01:50:00 AM,009XX N KARLOV AVE,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,false,false,1111,011,37,23,05,1148878,1906058,2020,06/09/2020 03:49:44 PM,41.898155638,-87.728630875,"(41.898155638, -87.728630875)"
12072776,JD258075,06/01/2020 02:30:00 PM,051XX S WOOD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VACANT LOT / LAND,false,false,0932,009,16,61,14,,,2020,06/09/2020 03:49:44 PM,,,
12066190,JD250612,06/02/2020 03:28:00 AM,113XX S CHURCH ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE,false,false,2212,022,19,75,04B,1166182,1829675,2020,06/09/2020 03:49:44 PM,41.688199161,-87.667248418,"(41.688199161, -87.667248418)"
12067205,JD251799,06/02/2020 11:40:00 PM,046XX S WESTERN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0922,009,15,58,15,1161154,1873630,2020,06/09/2020 03:49:44 PM,41.808923611,-87.684442113,"(41.808923611, -87.684442113)"
12066933,JD251420,06/02/2020 04:15:00 PM,029XX E 87TH ST,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,CTA BUS,true,false,0423,004,10,46,24,1197060,1847847,2020,06/09/2020 03:49:44 PM,41.737354033,-87.55360556,"(41.737354033, -87.55360556)"
12072361,JD257590,06/01/2020 10:00:00 PM,045XX S PRINCETON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,false,false,0925,009,3,37,26,,,2020,06/09/2020 03:49:44 PM,,,
12066117,JD250537,06/02/2020 01:10:00 AM,001XX N LONG AVE,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,RESIDENCE - YARD (FRONT / BACK),false,true,1523,015,28,25,04B,1140317,1900452,2020,06/09/2020 03:49:44 PM,41.88293336,-87.760212636,"(41.88293336, -87.760212636)"
12066153,JD250559,06/02/2020 01:16:00 AM,025XX S ALBANY AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1033,010,12,30,08A,1156099,1887036,2020,06/09/2020 03:49:44 PM,41.845814583,-87.702621981,"(41.845814583, -87.702621981)"
12067392,JD251522,06/02/2020 06:17:00 PM,048XX W IOWA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,SIDEWALK,false,false,1531,015,37,25,14,1143987,1905539,2020,06/09/2020 03:49:44 PM,41.896824637,-87.746608339,"(41.896824637, -87.746608339)"
12069099,JD253881,06/02/2020 02:00:00 AM,116XX S LAFAYETTE AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,false,true,0522,005,34,53,04B,1178006,1827566,2020,06/09/2020 03:49:44 PM,41.682152716,-87.624025349,"(41.682152716, -87.624025349)"
12067090,JD251615,06/02/2020 08:10:00 PM,104XX S MUSKEGON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,false,true,0431,004,10,51,14,1196808,1835769,2020,06/09/2020 03:49:44 PM,41.704217196,-87.554928894,"(41.704217196, -87.554928894)"
12067062,JD251591,06/02/2020 03:44:00 PM,001XX W 79TH ST,0620,BURGLARY,UNLAWFUL ENTRY,SMALL RETAIL STORE,false,false,0623,006,17,69,05,1176766,1852607,2020,06/09/2020 03:49:44 PM,41.75089655,-87.627813307,"(41.75089655, -87.627813307)"
12067044,JD251489,06/02/2020 05:44:00 PM,058XX S CALIFORNIA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0824,008,16,63,15,1158711,1865721,2020,06/09/2020 03:49:44 PM,41.787270525,-87.693618478,"(41.787270525, -87.693618478)"
12066116,JD250565,06/02/2020 01:59:00 AM,007XX E 43RD ST,3400,PUBLIC PEACE VIOLATION,LOOTING,RESTAURANT,false,false,0214,002,4,38,24,1181967,1876664,2020,06/09/2020 03:49:44 PM,41.816792557,-87.608010828,"(41.816792557, -87.608010828)"
12067319,JD251686,06/02/2020 05:40:00 PM,081XX S ELLIS AVE,0460,BATTERY,SIMPLE,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",false,false,0631,006,8,44,08B,1184310,1851236,2020,06/09/2020 03:49:44 PM,41.746961306,-87.600211497,"(41.746961306, -87.600211497)"
12066165,JD250571,06/02/2020 02:00:00 AM,052XX N NAGLE AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1613,016,45,10,05,1132572,1934545,2020,06/09/2020 03:49:44 PM,41.976626972,-87.787856652,"(41.976626972, -87.787856652)"
12066691,JD251239,06/02/2020 05:00:00 AM,021XX N NEENAH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,2512,025,29,19,08B,1132517,1913821,2020,06/09/2020 03:49:44 PM,41.919759023,-87.788543331,"(41.919759023, -87.788543331)"
12067255,JD251906,06/02/2020 08:45:00 PM,046XX N BROADWAY,0483,BATTERY,AGGRAVATED PROTECTED EMPLOYEE - OTHER DANGEROUS WEAPON,STREET,false,false,1914,019,46,3,04B,1167990,1930845,2020,06/09/2020 03:49:44 PM,41.965781301,-87.657716788,"(41.965781301, -87.657716788)"
12066648,JD250872,06/02/2020 09:53:00 AM,015XX W 80TH ST,0560,ASSAULT,SIMPLE,APARTMENT,false,false,0612,006,21,71,08A,1167549,1851682,2020,06/09/2020 03:49:44 PM,41.748560656,-87.661615335,"(41.748560656, -87.661615335)"
12066558,JD251028,06/02/2020 11:55:00 AM,008XX N RICHMOND ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,true,true,1211,012,26,24,04A,1156566,1905666,2020,06/09/2020 03:49:44 PM,41.896927786,-87.700403987,"(41.896927786, -87.700403987)"
12068107,JD251997,06/02/2020 01:19:00 AM,037XX W LE MOYNE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,false,false,2535,025,26,23,14,1150984,1909709,2020,06/09/2020 03:49:44 PM,41.908133345,-87.720799905,"(41.908133345, -87.720799905)"
12067116,JD251709,06/02/2020 11:00:00 AM,014XX W JUNEWAY TER,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2422,024,49,1,08B,1165227,1951396,2020,06/09/2020 03:49:44 PM,42.022233105,-87.66728803,"(42.022233105, -87.66728803)"
12067544,JD252141,06/02/2020 02:00:00 AM,039XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2535,025,26,23,07,1149938,1910348,2020,06/09/2020 03:49:44 PM,41.909907255,-87.724625745,"(41.909907255, -87.724625745)"
12067781,JD252035,06/02/2020 12:00:00 PM,044XX W GRENSHAW ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1131,011,24,29,08B,1146990,1894665,2020,06/09/2020 03:49:44 PM,41.866928242,-87.735856738,"(41.866928242, -87.735856738)"
12066526,JD251059,06/02/2020 12:40:00 PM,033XX W WARREN BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,ALLEY,false,true,1123,011,28,27,26,1154134,1900148,2020,06/09/2020 03:49:44 PM,41.881834737,-87.709483733,"(41.881834737, -87.709483733)"
12068364,JD251680,06/02/2020 08:48:00 PM,011XX E 82ND ST,0560,ASSAULT,SIMPLE,RESIDENCE - PORCH / HALLWAY,false,false,0411,004,8,45,08A,1185176,1850851,2020,06/09/2020 03:49:44 PM,41.745884535,-87.597050354,"(41.745884535, -87.597050354)"
12068094,JD251964,06/02/2020 12:00:00 PM,086XX S MARYLAND AVE,0810,THEFT,OVER $500,STREET,false,false,0632,006,8,44,06,1183402,1847931,2020,06/09/2020 03:49:44 PM,41.737913207,-87.603641301,"(41.737913207, -87.603641301)"
